$ spack find --format "{name},{version},{compiler},{variants},{arch}"
gdbm,1.18.1,gcc@9.3.0,,linux-opensuse_leap15-x86_64
gettext,0.21,gcc@9.3.0,+bzip2+curses+git~libunistring+libxml2+tar+xz,linux-opensuse_leap15-x86_64
ginkgo,1.3.0,gcc@9.3.0,~cuda~develtools~full_optimizations~hwloc~ipo+openmp~rocm+shared amdgpu_target=none build_type=Release cuda_arch=none,linux-opensuse_leap15-x86_64
ginkgo,1.3.0,gcc@9.3.0,+cuda~develtools~full_optimizations~hwloc~ipo+openmp~rocm+shared amdgpu_target=none build_type=Release cuda_arch=70,linux-opensuse_leap15-x86_64
git,2.31.0,gcc@9.3.0,+man+nls+perl~svn~tcltk,linux-opensuse_leap15-x86_64
glib,2.66.8,gcc@9.3.0,~libmount patches=b3fd45063a19c871048aa1f28692293ab8971a871bdcbe65f06f17fdd79db9e2 tracing=none,linux-opensuse_leap15-x86_64
glproto,1.4.17,gcc@9.3.0,,linux-opensuse_leap15-x86_64
gmake,4.3,gcc@9.3.0,~guile+nls,linux-opensuse_leap15-x86_64
gmp,6.2.1,gcc@9.3.0,,linux-opensuse_leap15-x86_64
googletest,1.8.1,gcc@9.3.0,+gmock~ipo+pthreads+shared build_type=RelWithDebInfo,linux-opensuse_leap15-x86_64
googletest,1.10.0,gcc@9.3.0,~gmock~ipo+pthreads+shared build_type=RelWithDebInfo,linux-opensuse_leap15-x86_64
gotcha,1.0.3,gcc@9.3.0,~ipo~test build_type=RelWithDebInfo,linux-opensuse_leap15-x86_64
gperf,3.1,gcc@9.3.0,,linux-opensuse_leap15-x86_64
gperftools,2.8.1,gcc@9.3.0,,linux-opensuse_leap15-x86_64
harfbuzz,2.6.8,gcc@9.3.0,~graphite2,linux-opensuse_leap15-x86_64
hdf5,1.8.22,gcc@9.3.0,~cxx~debug~fortran+hl~java+mpi+pic~shared~szip~threadsafe api=none,linux-opensuse_leap15-x86_64
hdf5,1.8.22,gcc@9.3.0,~cxx~debug+fortran+hl~java+mpi+pic+shared~szip~threadsafe api=none,linux-opensuse_leap15-x86_64
hdf5,1.10.7,gcc@9.3.0,~cxx~debug+fortran+hl~java+mpi+pic+shared~szip~threadsafe api=none,linux-opensuse_leap15-x86_64
heffte,2.0.0,gcc@9.3.0,~cuda+fftw~fortran~ipo~magma~mkl~python+shared build_type=RelWithDebInfo patches=c520da92eb86d41ba6da8a3ec86995ef07489170e93f59c3a7e8908d6336561c,linux-opensuse_leap15-x86_64
hip,4.2.0,gcc@9.3.0,~ipo build_type=RelWithDebInfo patches=2a4190477b7d9206b9cd8d70770ba0bc007273cbe54772efb12f9ca2e37c0392,e276c4acf3d37712b6bea306fea34f539d3c4f743471e9da208b5eb17b16ae67,linux-opensuse_leap15-x86_64
hip-rocclr,4.2.0,gcc@9.3.0,~ipo build_type=RelWithDebInfo,linux-opensuse_leap15-x86_64
hpctoolkit,2021.03.01,gcc@9.3.0,~all-static~cray~cuda+mpi+papi~rocm,linux-opensuse_leap15-x86_64
hpx,1.6.0,gcc@9.3.0,~async_cuda~async_mpi~cuda~examples~generic_coroutines~ipo~tools build_type=RelWithDebInfo cuda_arch=none cxxstd=17 instrumentation=none malloc=tcmalloc max_cpu_count=64 networking=tcp,linux-opensuse_leap15-x86_64
hpx,1.6.0,gcc@9.3.0,~async_cuda~async_mpi+cuda~examples~generic_coroutines~ipo~tools build_type=RelWithDebInfo cuda_arch=70 cxxstd=17 instrumentation=none malloc=tcmalloc max_cpu_count=64 networking=tcp,linux-opensuse_leap15-x86_64
hsa-rocr-dev,4.2.0,gcc@9.3.0,+image~ipo+shared build_type=Release patches=71e6851d9be8113bfb8d71b66a3171e0d0401bae5e6f161c9e7fe32558261a46,linux-opensuse_leap15-x86_64
hsakmt-roct,4.2.0,gcc@9.3.0,~ipo+shared build_type=Release,linux-opensuse_leap15-x86_64
hwloc,2.4.1,gcc@9.3.0,~cairo~cuda~gl~libudev+libxml2~netloc~nvml+pci+shared,linux-opensuse_leap15-x86_64
icu4c,67.1,gcc@9.3.0, cxxstd=11,linux-opensuse_leap15-x86_64
inputproto,2.3.2,gcc@9.3.0,,linux-opensuse_leap15-x86_64
intel-tbb,2020.3,gcc@9.3.0,+shared+tm cxxstd=default patches=62ba015ebd1819c45bef47411540b789b493e31ca668c4ff4cb2afcbc306b476,ce1fb16fb932ce86a82ca87cf0431d1a8c83652af9f552b264213b2ff2945d73,d62cb666de4010998c339cde6f41c7623a07e9fc69e498f2e149821c0c2c6dd0,linux-opensuse_leap15-x86_64
intel-xed,12.0.1,gcc@9.3.0,~debug~pic patches=acffa07ee4b8e898df18f1439547e45ec9c609328dfb6e1ad2dce416587334d4,linux-opensuse_leap15-x86_64
json-c,0.13.1,gcc@9.3.0,~ipo build_type=RelWithDebInfo,linux-opensuse_leap15-x86_64
kbproto,1.0.7,gcc@9.3.0,,linux-opensuse_leap15-x86_64
kokkos,3.4.00,gcc@9.3.0,~aggressive_vectorization~compiler_warnings~cuda~cuda_lambda~cuda_ldg_intrinsic~cuda_relocatable_device_code~cuda_uvm~debug~debug_bounds_check~debug_dualview_modify_check~deprecated_code~examples~explicit_instantiation~hpx~hpx_async_dispatch~hwloc~ipo~memkind~numactl~openmp~pic+profiling~profiling_load_print~pthread~qthread+rocm+serial+shared~sycl~tests~tuning~wrapper amdgpu_target=gfx906 build_type=RelWithDebInfo cuda_arch=none std=14,linux-opensuse_leap15-x86_64
kokkos,3.4.00,gcc@9.3.0,~aggressive_vectorization~compiler_warnings~cuda~cuda_lambda~cuda_ldg_intrinsic~cuda_relocatable_device_code~cuda_uvm~debug~debug_bounds_check~debug_dualview_modify_check~deprecated_code~examples~explicit_instantiation~hpx~hpx_async_dispatch~hwloc~ipo~memkind~numactl~openmp~pic+profiling~profiling_load_print~pthread~qthread~rocm+serial+shared~sycl~tests~tuning~wrapper amdgpu_target=none build_type=RelWithDebInfo cuda_arch=none std=14,linux-opensuse_leap15-x86_64
kokkos,3.4.00,gcc@9.3.0,~aggressive_vectorization~compiler_warnings~cuda~cuda_lambda~cuda_ldg_intrinsic~cuda_relocatable_device_code~cuda_uvm~debug~debug_bounds_check~debug_dualview_modify_check~deprecated_code~examples~explicit_instantiation~hpx~hpx_async_dispatch~hwloc~ipo~memkind~numactl+openmp~pic+profiling~profiling_load_print~pthread~qthread~rocm+serial+shared~sycl~tests~tuning~wrapper amdgpu_target=none build_type=RelWithDebInfo cuda_arch=none std=14,linux-opensuse_leap15-x86_64
kokkos,3.4.00,gcc@9.3.0,~aggressive_vectorization~compiler_warnings+cuda~cuda_lambda~cuda_ldg_intrinsic~cuda_relocatable_device_code~cuda_uvm~debug~debug_bounds_check~debug_dualview_modify_check~deprecated_code~examples~explicit_instantiation~hpx~hpx_async_dispatch~hwloc~ipo~memkind~numactl~openmp~pic+profiling~profiling_load_print~pthread~qthread~rocm+serial+shared~sycl~tests~tuning+wrapper amdgpu_target=none build_type=RelWithDebInfo cuda_arch=70 std=14,linux-opensuse_leap15-x86_64
kokkos-kernels,3.2.00,gcc@9.3.0,~blas~cblas~cublas~cuda~cusparse~ipo~lapack~lapacke~mkl+openmp~pthread~serial~superlu build_type=RelWithDebInfo cuda_arch=none execspace_cuda=auto execspace_openmp=auto execspace_serial=auto execspace_threads=auto layouts=left memspace_cudaspace=auto memspace_cudauvmspace=auto offsets=int,size_t ordinals=int scalars=double,linux-opensuse_leap15-x86_64
kokkos-kernels,3.2.00,gcc@9.3.0,~blas~cblas~cublas+cuda~cusparse~ipo~lapack~lapacke~mkl~openmp~pthread~serial~superlu build_type=RelWithDebInfo cuda_arch=70 execspace_cuda=auto execspace_openmp=auto execspace_serial=auto execspace_threads=auto layouts=left memspace_cudaspace=auto memspace_cudauvmspace=auto offsets=int,size_t ordinals=int scalars=double,linux-opensuse_leap15-x86_64
kokkos-nvcc-wrapper,3.2.00,gcc@9.3.0,+mpi,linux-opensuse_leap15-x86_64
kvtree,1.1.1,gcc@9.3.0,~ipo+mpi build_type=RelWithDebInfo file_lock=FLOCK,linux-opensuse_leap15-x86_64
lcms,2.9,gcc@9.3.0,,linux-opensuse_leap15-x86_64
legion,21.03.0,gcc@9.3.0,~bindings~bounds_checks~cuda~cuda_hijack~cuda_unsupported_compiler~enable_tls~fortran~gasnet_debug~hdf5~hwloc~ipo~kokkos+libdl~native~openmp~papi~privilege_checks~python~redop_complex~shared~spy+zlib build_type=RelWithDebInfo conduit=none cuda_arch=70 gasnet_root=none max_dims=3 max_fields=512 network=none output_level=warning,linux-opensuse_leap15-x86_64
libarchive,3.5.1,gcc@9.3.0,,linux-opensuse_leap15-x86_64
libbsd,0.10.0,gcc@9.3.0,,linux-opensuse_leap15-x86_64
libcap,2.25,gcc@9.3.0, patches=3db844dd771b320b8117b72f4e00b560051311fbbd4cba1ebcbd7c19116c1d66,linux-opensuse_leap15-x86_64
libcircle,0.3.0,gcc@9.3.0,,linux-opensuse_leap15-x86_64
libdwarf,20180129,gcc@9.3.0,,linux-opensuse_leap15-x86_64
libedit,3.1-20210216,gcc@9.3.0,,linux-opensuse_leap15-x86_64
libelf,0.8.13,gcc@9.3.0,,linux-opensuse_leap15-x86_64
libevent,2.1.12,gcc@9.3.0,+openssl,linux-opensuse_leap15-x86_64
