$ spack find --format "{name},{version},{compiler},{variants},{arch}"
perl,5.30.3,intel@19.1.2.254,+cpanm+shared+threads,cray-cnl7-haswell
petsc,3.13.6,intel@19.1.2.254,~X~batch~cgns~complex~cuda~debug+double~exodusii~fftw~giflib+hdf5+hypre~int64~jpeg~knl~libpng~libyaml~memkind+metis~moab~mpfr+mpi~mumps~p4est~random123~saws+shared~suite-sparse+superlu-dist~trilinos~valgrind clanguage=C,cray-cnl7-haswell
petsc,3.14.0,intel@19.1.2.254,~X~batch~cgns~complex~cuda~debug+double~exodusii~fftw~giflib+hdf5+hypre~int64~jpeg~knl~libpng~libyaml~memkind+metis~moab~mpfr+mpi~mumps~p4est~random123~saws+shared~suite-sparse+superlu-dist~trilinos~valgrind clanguage=C,cray-cnl7-haswell
pkg-config,0.29.2,intel@19.1.2.254,+internal_glib,cray-cnl7-haswell
pumi,2.2.2,intel@19.1.2.254,~fortran~int64~ipo~shared+simmodsuite_version_check~zoltan build_type=RelWithDebInfo simmodsuite=none,cray-cnl7-haswell
pumi,2.2.2,intel@19.1.2.254,+fortran~int64~ipo~shared+simmodsuite_version_check~zoltan build_type=RelWithDebInfo simmodsuite=none,cray-cnl7-haswell
py-cython,0.29.21,intel@19.1.2.254,,cray-cnl7-haswell
py-libensemble,0.7.0,intel@19.1.2.254,+mpi+nlopt~petsc4py+scipy,cray-cnl7-haswell
py-mpi4py,3.0.3,intel@19.1.2.254,,cray-cnl7-haswell
py-numpy,1.19.2,intel@19.1.2.254,+blas+lapack,cray-cnl7-haswell
py-petsc4py,3.13.0,intel@19.1.2.254,+mpi,cray-cnl7-haswell
py-pybind11,2.5.0,intel@19.1.2.254,~ipo build_type=RelWithDebInfo,cray-cnl7-haswell
py-pyelftools,0.26,intel@19.1.2.254,,cray-cnl7-haswell
py-scipy,1.5.3,intel@19.1.2.254, patches=5433f60831cb554101520a8f8871ac5a32c95f7a971ccd68b69049535b106780,cray-cnl7-haswell
py-setuptools,50.1.0,intel@19.1.2.254,,cray-cnl7-haswell
py-toml,0.10.0,intel@19.1.2.254,,cray-cnl7-haswell
python,3.8.6,intel@19.1.2.254,+bz2+ctypes+dbm~debug+libxml2+lzma~nis~optimizations+pic+pyexpat+pythoncmd+readline+shared+sqlite3+ssl~tix~tkinter~ucs4+uuid+zlib patches=0d98e93189bc278fbc37a50ed7f183bd8aaf249a8e1670a465f0db6bb4f8cf87,ebdca648c9c1d25f586d7e2a495b62e6d91973b55264a13d89eda1beff72ef56,cray-cnl7-haswell
qthreads,1.14,intel@19.1.2.254,~hwloc~spawn_cache+static scheduler=nemesis stack_size=4096,cray-cnl7-haswell
raja,0.12.1,intel@19.1.2.254,~cuda~ipo+openmp+shared build_type=RelWithDebInfo cuda_arch=none,cray-cnl7-haswell
rankstr,0.0.2,intel@19.1.2.254,~ipo build_type=RelWithDebInfo,cray-cnl7-haswell
readline,8.0,intel@19.1.2.254,,cray-cnl7-haswell
redset,0.0.3,intel@19.1.2.254,~ipo build_type=RelWithDebInfo,cray-cnl7-haswell
shuffile,0.0.3,intel@19.1.2.254,~ipo build_type=RelWithDebInfo,cray-cnl7-haswell
slepc,3.14.0,intel@19.1.2.254,+arpack~blopex,cray-cnl7-haswell
snappy,1.1.8,intel@19.1.2.254,~ipo+pic+shared build_type=RelWithDebInfo patches=c9cfecb1f7a623418590cf4e00ae7d308d1c3faeb15046c2e5090e38221da7cd,cray-cnl7-haswell
sqlite,3.31.1,intel@19.1.2.254,+column_metadata+fts~functions~rtree,cray-cnl7-haswell
stc,0.8.3,intel@19.1.2.254,,cray-cnl7-haswell
suite-sparse,5.7.2,intel@19.1.2.254,~cuda~openmp+pic~tbb,cray-cnl7-haswell
sundials,5.4.0,intel@19.1.2.254,+ARKODE+CVODE+CVODES+IDA+IDAS+KINSOL~cuda+examples-c~examples-cuda+examples-cxx+examples-f2003~examples-f77~examples-f90+examples-install+f2003~fcmix+generic-math+hypre~int64~ipo+klu+lapack+mpi+openmp~petsc~pthread~raja+shared+static~superlu-dist~superlu-mt~trilinos build_type=RelWithDebInfo precision=double,cray-cnl7-haswell
superlu,5.2.1,intel@19.1.2.254,+pic,cray-cnl7-haswell
superlu-dist,6.3.0,intel@19.1.2.254,~int64~ipo~openmp+shared build_type=RelWithDebInfo,cray-cnl7-haswell
superlu-dist,6.3.1,intel@19.1.2.254,~int64~ipo~openmp+shared build_type=RelWithDebInfo,cray-cnl7-haswell
swig,4.0.2,intel@19.1.2.254,,cray-cnl7-haswell
sz,2.0.2.0,intel@19.1.2.254,~fortran~hdf5~ipo~netcdf~pastri~python~random_access+shared~stats~time_compression build_type=RelWithDebInfo,cray-cnl7-haswell
sz,2.1.10,intel@19.1.2.254,+fortran+hdf5~ipo+netcdf+pastri+python+random_access+shared~stats+time_compression build_type=RelWithDebInfo,cray-cnl7-haswell
tasmanian,7.3,intel@19.1.2.254,+blas~cuda+fortran~ipo~magma+mpi+openmp+python+xsdkflags build_type=Release,cray-cnl7-haswell
tcl,8.6.10,intel@19.1.2.254,,cray-cnl7-haswell
texinfo,6.5,intel@19.1.2.254, patches=12f6edb0c6b270b8c8dba2ce17998c580db01182d871ee32b7b6e4129bd1d23a,1732115f651cff98989cb0215d8f64da5e0f7911ebf0c13b064920f088f2ffe1,cray-cnl7-haswell
turbine,1.2.3,intel@19.1.2.254,~hdf5~python~r,cray-cnl7-haswell
turbine,1.2.3,intel@19.1.2.254,+hdf5+python~r,cray-cnl7-haswell
umap,2.1.0,intel@19.1.2.254,~ipo~logging+tests build_type=RelWithDebInfo,cray-cnl7-haswell
umpire,4.0.1,intel@19.1.2.254,+c~cuda~deviceconst+examples~fortran~ipo~numa~openmp+shared build_type=RelWithDebInfo cuda_arch=none tests=none,cray-cnl7-haswell
umpire,4.0.1,intel@19.1.2.254,+c~cuda~deviceconst+examples+fortran~ipo+numa+openmp+shared build_type=RelWithDebInfo cuda_arch=none tests=none,cray-cnl7-haswell
upcxx,2020.3.0,intel@19.1.2.254,~cuda~mpi cross=cray-aries-slurm,cray-cnl7-haswell
veloc,1.4,intel@19.1.2.254,~ipo build_type=RelWithDebInfo,cray-cnl7-haswell
xz,5.2.5,intel@19.1.2.254,~pic,cray-cnl7-haswell
zfp,0.5.5,intel@19.1.2.254,~aligned~fasthash~ipo~profile+shared~strided~twoway bsws=64 build_type=RelWithDebInfo,cray-cnl7-haswell
zlib,1.2.11,intel@19.1.2.254,+optimize+pic+shared,cray-cnl7-haswell
zsh,5.8,intel@19.1.2.254,+skip-tcsetpgrp-test,cray-cnl7-haswell
zstd,1.4.5,intel@19.1.2.254,+pic,cray-cnl7-haswell
