spack find -x --format "{name},{version},{compiler.name}@{compiler.version},{variants},{arch},{hash}"
libxc,6.1.0,gcc@11.2.0,~cuda~kxc~lxc+shared build_system=autotools,linux-sles15-zen3,y2bnchu6vfley5pbblpindagspcbbo6r
likwid,5.2.2,gcc@11.2.0,~cuda+fortran accessmode=perf_event build_system=generic patches=af4ce27,linux-sles15-zen3,g3znkcdagc5hoqogjv3a4oj65fkas4af
loki,0.1.7,gcc@11.2.0,+shared build_system=makefile,linux-sles15-zen3,va5ykdz2adlzb7txwgxzd3qoreho56wa
mercury,2.3.0,gcc@11.2.0,~bmi+boostsys+checksum~debug~hwloc~ipo~mpi+ofi~psm~psm2+shared+sm~ucx~udreg build_system=cmake build_type=Release generator=make,linux-sles15-zen3,r7dxn6vasd2fa4hrafeopgj6g6vxlayl
metall,0.25,gcc@11.2.0,~ipo build_system=cmake build_type=Release generator=make,linux-sles15-zen3,jsk4xuccf7ofyw4ijs2dqm6fsdm2eeeh
mfem,4.5.2,gcc@11.2.0,~amgx~conduit~cuda~debug~examples~exceptions~fms~ginkgo~gnutls~gslib~hiop~lapack~libceed~libunwind+metis~miniapps~mpfr+mpi~netcdf~occa~openmp~petsc~pumi~raja~rocm~shared~slepc+static~strumpack~suite-sparse~sundials~superlu-dist~threadsafe~umpire+zlib build_system=generic timer=auto,linux-sles15-zen3,3eqivst7eciiypr2cyd5njp3rneeo6ra
mgard,2023-03-31,gcc@11.2.0,~cuda~ipo+openmp+serial+timing+unstructured build_system=cmake build_type=Release generator=make,linux-sles15-zen3,q2p4ply5jtzbabyxgsv4f2gfsjmruj6a
mpark-variant,1.4.0,gcc@11.2.0,~ipo build_system=cmake build_type=Release generator=make patches=21a4f8d,4e173fe,b3501f7,linux-sles15-zen3,jvhgmpyuyz5dkzqk7nvfwowkazpc2zh5
nano,7.2,gcc@11.2.0, build_system=autotools,linux-sles15-zen3,ly7mesifpg5qtk36h6oq73ajto3wimjj
nccmp,1.9.1.0,gcc@11.2.0,~ipo build_system=cmake build_type=Release generator=make,linux-sles15-zen3,gla5paozuv3dg5qf7gqf7ihclyz7c7mo
ncl,6.6.2,gcc@11.2.0,~gdal+grib~hdf4+openmp+triangle+udunits2 build_system=generic patches=0d38521,64f3502,a612d41,bd342cc,linux-sles15-zen3,x3zpxt44vmimjmsei3ltpfezxfn47sjy
nco,5.1.6,gcc@11.2.0,~doc build_system=autotools,linux-sles15-zen3,csg6ortnuh4gp457zq5ibyhsha4orgny
ncview,2.1.9,gcc@11.2.0, build_system=autotools,linux-sles15-zen3,j67wbfdjvov4fypvi4yu7pjtco4tgmb4
netcdf-c,4.9.2,gcc@11.2.0,+blosc~byterange~dap~fsync~hdf4~jna~mpi~nczarr_zip+optimize~parallel-netcdf+pic+shared+szip+zstd build_system=autotools patches=0161eb8,linux-sles15-zen3,ilvi545n6ygqk2ip62az7lpkhp7w3v4x
netcdf-fortran,4.6.1,gcc@11.2.0,~doc+pic+shared build_system=autotools,linux-sles15-zen3,cphz5n7mjivjjuxmj4hfbepkuybr7rhp
omega-h,9.34.13,gcc@11.2.0,~cuda~examples~gmsh~ipo~kokkos+mpi+optimize+shared+symbols~throw+trilinos~warnings+zlib build_system=cmake build_type=Release generator=make,linux-sles15-zen3,ydaxt7eghuufubflaif4q65vhlmvlohy
openpmd-api,0.15.1,gcc@11.2.0,~adios1+adios2+hdf5~ipo+mpi~python+shared build_system=cmake build_type=Release generator=make patches=c306483,linux-sles15-zen3,duuapxpplsmot4upyizhzubi5suoqjrq
papyrus,1.0.2,gcc@11.2.0,~ipo build_system=cmake build_type=Release generator=make,linux-sles15-zen3,m4kxtglllv7ucgoed7rrcootgpkl7gmo
parsec,3.0.2209,gcc@11.2.0,~cuda~debug_verbose~ipo~profile+shared build_system=cmake build_type=RelWithDebInfo generator=make,linux-sles15-zen3,fekamrf2rcisyrpnjukhb54zsq6cdbn4
pdt,3.25.1,gcc@11.2.0,~pic build_system=autotools,linux-sles15-zen3,7hzimxon6fk5b44dvvzfl3exngbead5b
phist,1.11.2,gcc@11.2.0,+fortran+host+int64~ipo+mpi+openmp~parmetis+scamac+shared~trilinos build_system=cmake build_type=Release generator=make kernel_lib=builtin outlev=2 patches=01c95e3,1fc9ac6,linux-sles15-zen3,cad6hocmcirwgwl7vldpkcy6bkiafos7
plasma,22.9.29,gcc@11.2.0,~ipo~lua+shared build_system=cmake build_type=Release generator=make,linux-sles15-zen3,2lxfedrvfnpt7ev4cje6btkgsrwcjag7
plumed,2.9.0,gcc@11.2.0,+gsl+mpi+shared arrayfire=none build_system=autotools optional_modules=all,linux-sles15-zen3,sfdexc4d6cuylmgb3fm3wgkl5puxm3kf
precice,2.5.0,gcc@11.2.0,~ipo+mpi+petsc~python+shared build_system=cmake build_type=Release generator=make,linux-sles15-zen3,af2mw3j23vg3ycdrna33lcyhmc7fxmgh
pumi,2.2.7,gcc@11.2.0,~fortran~int64~ipo~shared+simmodsuite_version_check~testing~zoltan build_system=cmake build_type=Release generator=make simmodsuite=none,linux-sles15-zen3,d2xdqv4utmaqrrbmmsiektyy3sgzpb3i
py-h5py,3.8.0,gcc@11.2.0,+mpi build_system=python_pip,linux-sles15-zen3,psnx6q5mxg5ipdy546bsmitiqyx4oshc
py-jupyterhub,0.9.4,gcc@11.2.0, build_system=python_pip,linux-sles15-zen3,zp2bylxkv6a2uytg2zgz63uyi6mrx7cw
py-libensemble,0.10.2,gcc@11.2.0,~deap+mpi~mpmath~nlopt~petsc4py~scipy~tasmanian build_system=python_pip,linux-sles15-zen3,zfdevh2kck6fm6jnyxfre24m2idu5eh5
py-petsc4py,3.19.4,gcc@11.2.0,+mpi build_system=python_pip,linux-sles15-zen3,cq7j57vd4uyjukmu4gtxd6ijh23sxgys
qthreads,1.18,gcc@11.2.0,+hwloc~spawn_cache+static build_system=autotools scheduler=distrib stack_size=4096,linux-sles15-zen3,yz2kfguvxic2djht5aegmlbwrdhfmjqs
raja,2022.10.4,gcc@11.2.0,~cuda+examples+exercises~ipo+openmp~rocm+shared~tests build_system=cmake build_type=Release generator=make,linux-sles15-zen3,qert7m3eiyjsnigtnvbihfyrhpqnboig
slate,2022.07.00,gcc@11.2.0,~cuda~ipo+mpi+openmp~rocm+shared build_system=cmake build_type=Release generator=make,linux-sles15-zen3,dbq66junmmquo4xhudtrooq323mhfeyb
slepc,3.19.1,gcc@11.2.0,+arpack~blopex~cuda~hpddm~rocm build_system=generic,linux-sles15-zen3,jpualgnbi3yn5n5e7glqvnakcdee6bxe
stc,0.9.0,gcc@11.2.0, build_system=autotools,linux-sles15-zen3,myu25mxs3inxgs72rvuvghtddmmo62c4
subversion,1.14.2,gcc@11.2.0,+apxs+nls~perl~serf build_system=autotools,linux-sles15-zen3,rsgcqcbohd3dccrrg4l3gxm2unhmx6lh
sundials,6.5.1,gcc@11.2.0,+ARKODE+CVODE+CVODES+IDA+IDAS+KINSOL~cuda+examples+examples-install~f2003~fcmix+generic-math~ginkgo~hypre~int64~ipo~klu~kokkos~kokkos-kernels~lapack~magma~monitoring+mpi~openmp~petsc~profiling~pthread~raja~rocm+shared+static~superlu-dist~superlu-mt~sycl~trilinos build_system=cmake build_type=Release cstd=99 cxxstd=14 generator=make logging-level=0 logging-mpi=OFF precision=double,linux-sles15-zen3,4nevlzqeutnfkmkouetmcybipyzyvpmj
superlu,5.3.0,gcc@11.2.0,~ipo+pic build_system=cmake build_type=Release generator=make,linux-sles15-zen3,lwebao5i7qogcwdw254ucr5ixv4coufz
swig,4.0.2-fortran,gcc@11.2.0, build_system=autotools,linux-sles15-zen3,uiwtwycpec3vrkkefduehbefwr2lob7b
tasmanian,7.9,gcc@11.2.0,~blas~cuda~fortran~ipo~magma~mpi~openmp~python~rocm~xsdkflags build_system=cmake build_type=Release generator=make,linux-sles15-zen3,ucqfaedph4nhkuyzf3qawknyt3tvtm25
tau,2.32.1,gcc@11.2.0,~adios2+binutils~comm~craycnl~cuda+elf+fortran~gasnet+io~level_zero+libdwarf+libunwind~likwid+mpi~ompt~opari~opencl~openmp+otf2+papi+pdt~phase~ppc64le~profileparam+pthreads+python~rocm~rocprofiler~roctracer~scorep~shmem~sqlite~x86_64 build_system=generic,linux-sles15-zen3,gwn3kzbbpjwypxh4lqfszopewnywckmk
trilinos,14.4.0,gcc@11.2.0,~adelus~adios2+amesos+amesos2+anasazi+aztec~basker+belos+boost~chaco~complex~cuda~cuda_rdc~debug~dtk+epetra+epetraext~epetraextbtf~epetraextexperimental~epetraextgraphreorderings~exodus+explicit_template_instantiation~float+fortran~gtest~hdf5~hypre+ifpack+ifpack2+intrepid+intrepid2~ipo+isorropia+kokkos~mesquite+minitensor+ml+mpi+muelu~mumps+nox~openmp~panzer+phalanx+piro~python~rocm~rocm_rdc+rol+rythmos+sacado~scorec+shards+shared+shylu+stk+stokhos+stratimikos~strumpack~suite-sparse~superlu+superlu-dist+teko+tempus+thyra+tpetra+trilinoscouplings~wrapper~x11+zoltan+zoltan2 build_system=cmake build_type=Release cxxstd=17 generator=make gotype=long_long,linux-sles15-zen3,xak6qhgsm7umrjcgjpsyrtl4abkkm2os
umap,2.1.0,gcc@11.2.0,~ipo~logging~tests build_system=cmake build_type=Release generator=make,linux-sles15-zen3,xkhy75mb6zw2vjajhkmpwp4fwzculbrq
unifyfs,1.1,gcc@11.2.0,+auto-mount~boostsys+fortran~pmi~pmix~preload+spath build_system=autotools,linux-sles15-zen3,czvcuorjjx4azlkbs7debk5eebku5tzh
upcxx,2023.3.0,gcc@11.2.0,~cuda~gasnet~level_zero~mpi~rocm build_system=generic cross=none,linux-sles15-zen3,qxdtihgkzvkdfshzvjdhcurrscztw4i4
variorum,0.6.0,gcc@11.2.0,~docs~ipo+shared build_system=cmake build_type=Release generator=make,linux-sles15-zen3,y6k6l5fnynlmf2mcb3fmfg3ypfv3ig3y
